,Unnamed: 0,Xç¿ïW.1,Yç¿ïW.1
222,D25,204.13375,-97.965
223,D-RL1,176.46,-0.20125
224,D-RL2,184.15125,-0.18875
225,D-RL3,191.84,-0.23875
226,D-RL5,220.8025,-33.385
227,D-RL6,214.4975,-2.78375
228,D-RL7,112.99,78.695
229,D-RL8,90.16,54.63625
230,D-RL9,90.11375,47.11875
231,D-RL11,82.4775,47.11375
232,D-RL12,174.1975,-118.0375
233,D-RL14,156.0275,-27.9975
234,Q1,140.96125,26.62
235,IC1,36.76125,89.06125
236,IC2,52.04375,91.48375
237,IC57,125.52375,-109.42375
238,I-Q13,141.13125,85.0475
