name,x1,y1,x2,y2
R93,128.08624,-63.56625,131.91,-63.64875
R77,156.065,-47.24875,156.11124,-42.1175
R57,144.60126,-34.34375,156.065,-47.24875
C54,152.19376,-34.372505,156.04248,-34.511253
R59,152.23499,-44.613747,152.19376,-34.372505
D15,136.89874,-58.45125,156.11124,-42.1175
D10,140.98123,-34.442497,156.11124,-42.1175
R54,133.11252,-58.411247,144.60126,-34.34375
R74,133.2825,-34.356255,144.60126,-34.34375
R31,128.08624,-63.56625,163.64874,-5.177498
R29,128.08624,-63.56625,140.88126,-1.3399963
R76,63.236244,-112.95875,136.89874,-58.45125
R92,63.18377,-102.69375,109.03124,-61.10625
R84,53.047493,-76.13625,56.894997,-65.995
R82,37.941246,-82.43375,41.5375,-72.2075
R79,16.2425,-88.79625,39.10749,-63.385
R64,14.97625,-72.21625,23.857506,-53.167503
R66,23.857506,-53.167503,31.483742,-63.3725
R67,31.483742,-63.3725,35.2875,-53.24875
R68,39.10749,-63.385,39.113747,-53.21125
R83,16.231255,-34.135002,53.047493,-76.13625
C61,16.231255,-34.135002,56.894997,-65.995
R201,16.231255,-34.135002,30.2425,-48.19375
C203,16.231255,-34.135002,20.174995,-39.30375
R200,30.2425,-48.19375,34.136253,-37.950005
C204,20.174995,-39.30375,34.136253,-37.950005
VR1,7.3650055,-31.57,26.421242,-33.15
D7,18.837502,-21.498749,22.590004,-27.706245
D6,15.000008,-21.436249,22.590004,-27.706245
R36,7.3650055,-31.57,18.837502,-21.498749
R16,7.492508,-6.268753,17.593758,-6.1612473
R15,7.492508,-6.268753,17.609993,-3.6387482
R4,13.796257,30.655006,16.346245,23.02375
D1,44.2875,25.256248,49.391243,-3.69001
R17,49.30375,-13.846252,49.391243,-3.69001
R71,75.94999,-53.28,75.987495,-63.54375
R70,68.28501,-63.395,68.37501,-53.322502
D11,68.28501,-63.395,128.08624,-63.56625
D9,63.236244,-112.95875,144.60126,-34.34375
R42,63.236244,-112.95875,95.10624,-26.643753
R41,63.236244,-112.95875,91.308754,-26.622498
R40,78.63749,-36.950005,87.44126,-36.8125
C33,82.424995,-5.038742,86.17126,-21.57125
R44,105.18374,-10.207497,105.21751,-20.36126
R43,101.61625,-20.400002,105.18374,-10.207497
R20,78.54624,5.148758,82.424995,-5.038742
R19,74.79626,5.157501,82.424995,-5.038742
R18,71.02627,5.1799927,82.424995,-5.038742
R21,82.424995,-5.038742,82.4475,5.0937424
R26,101.451256,-5.0537415,101.42625,5.123749
R11,120.6475,4.965004,128.20874,8.876251
R10,120.6475,4.965004,128.08624,12.668755
Q1,128.25998,27.956245,140.96124,26.620003
R9,120.6475,4.965004,128.15875,16.469994
R27,105.24001,5.114998,120.6475,4.965004
R8,120.6475,4.965004,128.23373,20.2425
R7,120.6475,4.965004,128.22626,24.048744
R6,120.6475,4.965004,128.25998,27.956245
R23,82.424995,-5.038742,89.986244,5.083748
R22,82.424995,-5.038742,86.252495,5.1412506
R203,67.0225,-48.11625,134.47998,1.2662506
D14,7.3650055,-31.57,144.60126,-34.34375
R56,7.3650055,-31.57,140.98123,-34.442497
R46,7.3650055,-31.57,158.82,-29.928757
L-RL14,7.3650055,-31.57,156.0275,-27.997498
D-RL14,7.3650055,-31.57,156.0275,-27.997498
L-RL2,7.3650055,-31.57,184.15125,-0.18875885
D-RL2,7.3650055,-31.57,184.15125,-0.18875885
L-RL1,7.3650055,-31.57,176.45999,-0.20124817
D-RL1,7.3650055,-31.57,176.45999,-0.20124817
D4,7.3650055,-31.57,134.47998,1.2662506
R28,7.3650055,-31.57,126.841255,1.1812515
JR,7.3650055,-31.57,52.00126,19.07125
R5,14.97625,-72.21625,55.67124,29.313744
L-RL11,7.3650055,-31.57,82.4775,47.113747
D-RL11,7.3650055,-31.57,82.4775,47.113747
L-RL9,7.3650055,-31.57,90.11375,47.11875
D-RL9,7.3650055,-31.57,90.11375,47.11875
L-RL8,7.3650055,-31.57,90.16001,54.636253
D-RL8,7.3650055,-31.57,90.16001,54.636253
L-RL7,7.3650055,-31.57,112.99,78.695
D-RL7,7.3650055,-31.57,112.99,78.695
R2,7.3650055,-31.57,116.835,82.54624
C59,7.3650055,-31.57,141.13126,85.04749
R202,20.174995,-39.30375,141.13126,85.04749
R65,14.97625,-72.21625,141.13126,85.04749
R116,32.71125,-111.6425,141.13126,85.04749
C76,40.191246,-112.86625,141.13126,85.04749
C60,63.236244,-112.95875,141.13126,85.04749
R123,83.43626,-113.02125,141.13126,85.04749
C83,86.017494,-97.7875,141.13126,85.04749
R107,107.64623,-90.1775,141.13126,85.04749
C82,86.0675,-87.56625,141.13126,85.04749
C81,69.505,-93.9125,141.13126,85.04749
C80,83.495,-83.7475,141.13126,85.04749
